年月日,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股)
2023/10/31,122.4,122.45,121.1,121.15,11952
2023/10/30,122.4,122.85,121.75,122,9793
2023/10/27,122.15,122.75,122.1,122.3,4413
2023/10/26,121.85,122.4,121.6,121.75,24072
2023/10/25,124.2,124.9,124.2,124.2,4229
2023/10/24,123.8,123.95,122.7,123.95,7671
2023/10/23,124.85,124.85,123.55,123.85,8728
2023/10/20,124.75,125.45,123.9,125.4,4697
2023/10/19,124.4,125.2,124.4,124.85,8052
2023/10/18,126.25,126.25,124.8,124.8,10455
2023/10/17,126.7,127,126.4,126.55,7017
2023/10/16,126.3,126.3,125.7,126.25,8160
2023/10/13,127,127.4,126.5,126.95,6625
2023/10/12,126.5,127.35,126.3,127.3,14896
2023/10/11,125.9,126.4,125.85,126.25,14193
2023/10/06,123.8,124.3,123.8,124.1,5059
2023/10/05,122.4,123.65,122.4,123.65,4410
2023/10/04,122.1,122.2,121.35,121.9,12322
2023/10/03,123.95,124.15,123.45,123.5,5464
2023/10/02,123.6,124.5,123.6,124.25,6751
2023/09/28,122.75,123.15,122.05,122.65,5881
2023/09/27,121.85,122.3,121.55,122.15,7068
2023/09/26,122.65,123,122,122.1,11388
2023/09/25,122.75,123.75,122.75,123.55,4337
2023/09/22,122.45,122.8,122.05,122.65,10344
2023/09/21,123.8,123.85,122.65,122.75,23194
2023/09/20,125.05,125.2,124.5,124.75,6502
2023/09/19,125.85,126.05,125.35,125.45,4357
2023/09/18,126.6,126.6,125.85,126,7560
2023/09/15,127,127.35,126.75,127.35,6105
2023/09/14,125.9,126.95,125.55,126.95,7617
2023/09/13,125.2,125.6,124.7,125.2,3406
2023/09/12,124.1,125.05,123.85,125.05,2805
2023/09/11,124.45,124.5,123.4,123.8,9428
2023/09/08,124.1,124.5,123.85,124.3,6199
2023/09/07,125.3,125.5,124.7,124.85,6411
2023/09/06,126.6,126.7,125.85,126,7625
2023/09/05,126.55,126.6,126.05,126.45,3941
2023/09/04,125.9,126.8,125.6,126.75,3707
2023/09/01,125.5,126.3,125.1,125.9,3298
2023/08/31,126.55,126.55,125.5,125.7,4631
2023/08/30,126.75,127.05,126.1,126.6,5913
2023/08/29,126,126.05,124.7,126.05,6680
2023/08/28,124.85,125.7,124.75,125.35,4490
2023/08/25,125.5,125.5,124.5,124.55,8003
2023/08/24,126.4,127.1,126.25,127,7038
2023/08/23,124,125.15,124,124.85,6976
2023/08/22,124,124.35,123.7,124,3869
2023/08/21,124.2,124.45,123,123,11056
2023/08/18,124.2,124.8,123.7,123.85,8329
2023/08/17,123.6,124.65,122.9,124.6,10203
2023/08/16,124.15,124.4,123.6,124.05,19265
2023/08/15,125.25,125.45,124.6,124.7,8064
2023/08/14,125.65,125.7,124.1,124.5,24758
2023/08/11,127,127.35,126.15,126.3,8352
2023/08/10,126.9,127,126.3,126.4,12013
2023/08/09,126.8,127.65,126.65,127.2,3923
2023/08/08,128.1,128.2,126.4,127,11518
2023/08/07,127.65,128.7,127.55,128.5,4928
2023/08/04,127.25,127.5,126.9,127.25,7590
2023/08/02,129.4,129.45,127.45,127.85,13214
2023/08/01,129,129.55,128.85,129.45,4681
2023/07/31,130.3,130.65,128.25,128.8,7751
2023/07/28,129.4,129.9,129,129.5,2941
2023/07/27,129.15,129.5,129,129.5,4193
2023/07/26,129.1,129.2,128.35,128.5,4653
2023/07/25,127.7,129.2,127.7,128.85,7215
2023/07/24,127,127.65,126.6,127.25,10275
2023/07/21,127.4,127.4,126.5,127.2,14040
2023/07/20,129.05,129.7,129,129.35,4065
2023/07/19,130.15,130.5,128.75,128.75,14711
2023/07/18,131,131,129.7,129.85,11349
2023/07/17,132,132.2,131.75,132,15718
2023/07/14,131.45,132.5,131.45,132.25,15492
2023/07/13,131.3,131.9,130.85,130.9,16226
2023/07/12,129.3,129.45,128.85,129.45,3615
2023/07/11,128,129.2,128,129.2,4784
2023/07/10,128.1,128.5,127,127.45,8506
2023/07/07,127.55,128.3,127.1,127.7,8691
2023/07/06,129.7,129.7,127.7,127.9,18056
2023/07/05,131,131.2,130.4,130.8,5405
2023/07/04,130.75,131.15,130.55,131,5919
2023/07/03,129.6,130.7,129.6,130.7,6979
2023/06/30,128.8,129.1,128.3,129.1,7504
2023/06/29,129.75,130.5,128.9,129.05,6037
2023/06/28,129.35,129.7,128.8,129.1,5943
2023/06/27,129.15,129.55,128.7,128.9,7065
2023/06/26,130.35,130.35,129.4,129.75,7961
2023/06/21,130.55,131.05,130.25,130.55,26907
2023/06/20,131.1,131.25,130.35,130.55,6966
2023/06/19,130.95,131.5,130.55,131.25,6339
2023/06/16,131.8,131.8,131.1,131.55,7586
2023/06/15,131.55,132,131.5,131.9,11515
2023/06/14,131.4,131.6,131,131.5,7065
2023/06/13,130.2,131.95,130.2,131.55,24673
2023/06/12,128.5,129.3,128.5,129,14318
2023/06/09,127.5,128.2,127.4,127.8,5862
2023/06/08,127.9,128.2,126.55,126.85,5592
2023/06/07,127,128.25,127,128.1,12723
2023/06/06,126.35,127.25,126.15,126.7,6877
2023/06/05,126.75,126.8,126.25,126.35,6813
2023/06/02,125.8,127,125.8,126.75,8412
2023/06/01,125.35,125.6,124.9,125.15,4231
2023/05/31,126.7,126.7,125.15,126.15,9229
2023/05/30,126.75,127.05,126.45,126.75,12627
2023/05/29,127.45,127.55,126.5,126.75,15208
2023/05/26,125,126.05,125,125.95,25082
2023/05/25,123,123.4,122.45,123.05,12032
2023/05/24,121.65,121.8,121.1,121.6,11115
2023/05/23,122.3,122.65,121.8,122.2,12550
2023/05/22,122.5,122.65,122.1,122.3,18271
2023/05/19,122.6,122.85,122.2,122.5,34913
2023/05/18,121.8,122.4,121.6,122.15,23085
2023/05/17,118.65,120.7,118.65,120.55,26759
2023/05/16,117.9,119,117.85,118.6,8154
2023/05/15,116.95,117.35,116.65,117.2,4584
2023/05/12,117.15,117.5,116.75,117.2,4251
2023/05/11,118.25,118.45,117.55,117.55,4031
2023/05/10,118.8,118.8,117.65,117.8,4685
2023/05/09,118.6,119,118.3,118.9,4828
2023/05/08,118.5,118.9,118.35,118.55,6287
2023/05/05,117.7,118.05,117.4,117.8,2550
2023/05/04,117,117.5,116.7,117.5,3888
2023/05/03,117.35,117.35,116.8,117.2,4652
2023/05/02,117.45,118,117.1,117.7,5572
2023/04/28,116.85,117.55,116.85,117.4,6023
2023/04/27,116.05,116.65,115.5,116,10274
2023/04/26,116.55,116.6,115.65,116.1,14209
2023/04/25,118.3,118.3,116.55,116.6,21039
2023/04/24,117.8,118.5,117.7,118.15,7308
2023/04/21,119.45,119.55,118.5,118.6,5326
2023/04/20,118.85,119.4,118.4,118.9,7081
2023/04/19,120,120.05,118.8,119.05,8700
2023/04/18,120.35,120.4,119.75,119.95,5183
2023/04/17,120.35,120.5,119.8,120.35,6061
2023/04/14,120,120.9,119.85,120.65,3289
2023/04/13,120.05,120.15,119.5,119.5,7509
2023/04/12,120.85,120.85,120.15,120.55,3247
2023/04/11,121,121.15,120.4,120.85,6233
2023/04/10,121.25,121.65,120.9,121,4503
2023/04/07,121.25,121.45,120.8,121,4623
2023/04/06,120.85,121,120.2,121,8076
2023/03/31,121.7,122.35,121.4,121.6,15218
2023/03/30,121.4,121.7,120.75,121.2,11586
2023/03/29,120.65,121.05,120.15,120.6,3255
2023/03/28,120.95,121.15,120.2,120.4,10125
2023/03/27,121.75,121.9,121.2,121.45,11001
2023/03/24,122,122.3,121.55,122.2,13919
2023/03/23,120.65,122.3,120.45,121.85,16090
2023/03/22,119.45,120.9,119.45,120.9,15003
2023/03/21,118.5,118.75,118.2,118.65,3732
2023/03/20,118.95,119.05,117.85,118.1,7527
2023/03/17,117.85,118.95,117.8,118.95,11087
2023/03/16,117.2,117.4,116.5,117.05,16683
2023/03/15,118.4,118.7,117.45,117.6,12613
2023/03/14,117.55,117.95,117.15,117.5,12145
2023/03/13,117.95,119.1,117.4,118.8,19295
2023/03/10,118.85,118.95,118,118.3,15018
2023/03/09,120.75,120.8,120.2,120.2,3505
2023/03/08,120.5,120.6,119.8,120.3,6752
2023/03/07,120.55,121.4,120.2,121.3,7894
2023/03/06,120.15,120.9,119.9,120.5,9805
2023/03/03,119.8,120.1,119.2,119.35,3341
2023/03/02,119.35,119.35,118.3,119.25,3750
2023/03/01,117.3,119.45,116.85,119.35,7996
2023/02/24,119.9,120.1,118.8,118.8,5828
2023/02/23,117.95,119.8,117.95,119.4,6448
2023/02/22,117.5,117.75,117.1,117.65,12041
2023/02/21,119,119.1,118.55,118.95,4772
2023/02/20,118.55,119.35,118.1,119,6230
2023/02/17,119.3,119.3,118.4,118.75,8960
2023/02/16,119.3,120.5,119.3,120.3,11233
2023/02/15,119.95,120.25,118.8,118.85,13852
2023/02/14,121.25,121.8,121.25,121.65,7965
2023/02/13,120.7,120.9,119.9,120.75,4149
2023/02/10,120.9,121.1,120.6,121,6572
2023/02/09,120.5,121,120.3,120.9,5032
2023/02/08,120.1,120.95,120,120.85,9239
2023/02/07,119.1,119.25,118.55,119,8787
2023/02/06,120.1,120.1,119.25,119.25,14297
2023/02/03,120.95,121.2,120.2,121,9934
2023/02/02,120.3,121.1,120.25,121,16194
2023/02/01,119.1,119.45,118.45,119,6903
2023/01/31,120.6,120.6,118.3,118.3,22474
2023/01/30,120.8,121,120,120.7,44330
2023/01/17,118.35,118.35,117.8,118.1,14600
2023/01/16,118.1,118.55,118,118.1,28203
2023/01/13,118.5,118.6,116.95,117.2,28912
2023/01/12,116.5,116.6,115.65,115.85,10249
2023/01/11,116.65,116.75,115.9,116.35,15849
2023/01/10,115.95,116.4,115.75,116.25,12427
2023/01/09,114,115.8,113.9,115.8,15649
2023/01/06,111.2,112.2,111.15,111.8,11826
2023/01/05,111.25,111.7,110.95,111.3,12395
2023/01/04,110.3,110.8,110.1,110.5,14211
2023/01/03,109.6,110.9,108.45,110.75,15272
2022/12/30,110.6,110.75,110.2,110.2,8890
2022/12/29,109.2,109.6,108.4,109.5,14342
2022/12/28,110.5,110.5,109.4,110,13002
2022/12/27,111.4,112.25,111.4,111.6,4269
2022/12/26,110.8,111.2,110.7,111.1,4258
2022/12/23,110.7,111.05,110.4,110.7,6556
2022/12/22,111.75,112.75,111.75,112.6,5166
2022/12/21,110.8,111.4,110.3,110.75,12203
2022/12/20,112.15,112.5,110.05,110.3,13446
2022/12/19,112.35,112.95,112,112.35,6504
2022/12/16,112.5,113.3,112.25,113,12792
2022/12/15,114.3,115.05,113.9,114.9,8045
2022/12/14,114.1,115,114,114.8,8037
2022/12/13,114.5,114.5,113.25,113.4,6860
2022/12/12,114.2,114.2,113.25,113.9,8764
2022/12/09,114,115.25,113.95,115,6394
2022/12/08,114.05,114.1,112.45,113.25,9682
2022/12/07,114.5,115.85,114.2,114.6,8636
2022/12/06,116.8,116.8,115.2,115.3,10637
2022/12/05,117.3,118.5,117.2,117.45,12330
2022/12/02,117.3,117.95,117,117.3,7796
2022/12/01,119.2,119.5,118,118.35,25136
2022/11/30,115.1,116.4,114.85,116.35,9535
2022/11/29,113.85,115.4,113.1,115.4,10926
2022/11/28,114.6,115.3,113.9,114.35,15627
2022/11/25,116.65,116.95,116.35,116.7,16343
2022/11/24,116,116.85,115.9,116.7,15641
2022/11/23,115.65,115.9,115.05,115.6,8224
2022/11/22,113.4,115,113.05,114.8,5798
2022/11/21,114.35,114.65,113.7,113.85,8978
2022/11/18,114.9,115.85,114.05,114.25,10968
2022/11/17,113.95,114.65,112.85,114.55,13741
2022/11/16,115,115.75,113.85,114.5,24251
2022/11/15,111.2,114.95,111.2,114.7,34799
2022/11/14,109.8,110.4,109.4,110,18631
2022/11/11,108.55,109,107.8,109,35134
2022/11/10,103.45,103.85,103.2,103.5,15112
2022/11/09,102.55,104.5,102.55,104.5,19308
2022/11/08,101.45,101.95,101.25,101.6,10726
2022/11/07,99.8,100.85,99.55,100.55,12464
2022/11/04,98.1,98.95,97.5,98.85,6727
2022/11/03,98.5,98.85,98.35,98.7,14068
2022/11/02,99.6,100.05,99.4,100,7245
2022/11/01,98.85,99.95,98.8,99.6,8491
